rank	word	occurrences	heuristic_group
152	икәүһе	378	lower_lexical_3plus
153	средстволар	378	lower_lexical_3plus
154	геол	374	lower_lexical_3plus
155	ты	366	lower_two_letters
156	ҒТИ-нда	366	initial_upper
157	реж	364	lower_lexical_3plus
158	металдар	363	lower_lexical_3plus
159	нояб	361	lower_lexical_3plus
160	Башгидромет	357	initial_upper
161	Һиндостан	352	initial_upper
162	гр	351	lower_two_letters
163	ФА-ның	350	initial_upper
164	Башавтотранс	348	initial_upper
165	БДУ-ны	345	initial_upper
166	ст	343	lower_two_letters
167	пед	340	lower_lexical_3plus
168	тороуы	338	lower_lexical_3plus
169	Чиполлино	334	initial_upper
170	Бэк	328	initial_upper
171	Уфа	328	initial_upper
172	төҙөүҙе	328	lower_lexical_3plus
173	БДБ	324	all_upper
174	килограмға	322	lower_lexical_3plus
175	ц	320	one_letter
176	РФ-тың	306	initial_upper
177	ҙең	304	lower_lexical_3plus
178	нефтехим	301	lower_lexical_3plus
179	ҡсб	298	lower_lexical_3plus
180	Ж	297	one_letter
181	биол	294	lower_lexical_3plus
182	берәүһе	293	lower_lexical_3plus
183	АИ	290	all_upper
184	средстволары	290	lower_lexical_3plus
185	ССР-ы	289	initial_upper
186	нда	289	lower_lexical_3plus
187	тороуын	288	lower_lexical_3plus
188	Оксана	279	initial_upper
189	Орск	278	initial_upper
190	не	278	lower_two_letters
191	партнерлыҡ	270	lower_lexical_3plus
192	Ө	270	one_letter
193	тиһең	266	lower_lexical_3plus
194	Корея	264	initial_upper
195	Рима	264	initial_upper
196	нындағы	263	lower_lexical_3plus
197	Зурита	262	initial_upper
198	эҙҙәре	262	lower_lexical_3plus
199	Багира	259	initial_upper
200	матем	258	lower_lexical_3plus
201	мәғлүмәти	258	lower_lexical_3plus
202	шағирҙар	258	lower_lexical_3plus
203	терр	257	lower_lexical_3plus
204	Верхнеурал	255	initial_upper
205	диам	253	lower_lexical_3plus
206	БДИ	250	all_upper
207	ТӨРКСОЙ	250	all_upper
208	фаразлай	249	lower_lexical_3plus
209	РИА	248	all_upper
210	Красноусол	247	initial_upper
211	ЮНЕСКО-ның	247	initial_upper
212	Монтанелли	244	initial_upper
213	иткес	244	lower_lexical_3plus
214	Новости	239	initial_upper
215	БДМИ-ны	238	initial_upper
216	Кемп	235	initial_upper
217	боҙолоуы	234	lower_lexical_3plus
218	Ү	234	one_letter
219	тиһеңме	233	lower_lexical_3plus
220	Бохайыр	232	initial_upper
221	каф	232	lower_lexical_3plus
222	мәҫ	231	lower_lexical_3plus
223	Конгресс-холда	226	initial_upper
224	ндә	226	lower_lexical_3plus
225	Сальватор	225	initial_upper
226	Ғалимдар	224	initial_upper
227	Башгидрометүҙәк	223	initial_upper
228	РФ-та	221	initial_upper
229	тергеҙелә	221	lower_lexical_3plus
230	паркын	219	lower_lexical_3plus
231	Сильвер	218	initial_upper
232	ш	218	one_letter
233	Башкортостана	217	initial_upper
234	орд	217	lower_lexical_3plus
235	йөрөүе	216	lower_lexical_3plus
236	табиптары	214	lower_lexical_3plus
237	ӨДАТУ-ла	210	initial_upper
238	көсәйеүсән	209	lower_lexical_3plus
239	БДУ	208	all_upper
240	Кристо	206	initial_upper
241	адм	206	lower_lexical_3plus
242	ижт	206	lower_lexical_3plus
243	эскән	206	lower_lexical_3plus
244	Хәтми	205	initial_upper
245	Нефтехимия	204	initial_upper
246	полкының	203	lower_lexical_3plus
247	фатирҙар	202	lower_lexical_3plus
248	Раевка	201	initial_upper
249	ләгән	201	lower_lexical_3plus
250	БДУ-ның	199	initial_upper
251	йоҡтороуҙың	199	lower_lexical_3plus
252	Ҡазанға	196	initial_upper
253	ТВ	194	all_upper
254	Ы	194	one_letter
255	БДМУ-ла	193	initial_upper
256	адресына	193	lower_lexical_3plus
257	Әлибай	193	initial_upper
258	Тажикстан	192	initial_upper
259	ҒТИ	192	all_upper
260	ижтимәғи-сәйәси	189	lower_hyphenated
261	НефАЗ	187	initial_upper
262	енә	186	lower_lexical_3plus
263	Мәғарифты	185	initial_upper
264	Пустовгаров	185	initial_upper
265	Морозка	183	initial_upper
266	Фидус	183	initial_upper
267	Фанфан	182	initial_upper
268	з-ды	182	lower_hyphenated
269	табл	182	lower_lexical_3plus
270	Бальтазар	181	initial_upper
271	Роспотребнадзорҙың	180	initial_upper
272	мөмкинме	180	lower_lexical_3plus
273	һөйөүе	180	lower_lexical_3plus
274	ӨНИ-не	180	initial_upper
275	тарихты	179	lower_lexical_3plus
276	эсте	179	lower_lexical_3plus
277	өсәүһе	179	lower_lexical_3plus
278	металдарҙы	178	lower_lexical_3plus
279	табиптарға	178	lower_lexical_3plus
280	фп	177	lower_two_letters
281	чемп	177	lower_lexical_3plus
282	Лоҡманхәким	176	initial_upper
283	килограмы	176	lower_lexical_3plus
284	Рустең	175	initial_upper
285	ЮС-ының	174	initial_upper
286	макс	174	lower_lexical_3plus
287	ойоштороуҙы	174	lower_lexical_3plus
288	ААЙ-нда	172	initial_upper
289	Мелкоедов	172	initial_upper
290	нең	172	lower_lexical_3plus
291	офицерҙар	172	lower_lexical_3plus
292	оҙайтылды	172	lower_lexical_3plus
293	ӨДНТУ-ла	172	initial_upper
294	Сипайлово	171	initial_upper
295	Тажетдин	171	initial_upper
296	мг	171	lower_two_letters
297	ДЮСШ	170	all_upper
298	табипҡа	169	lower_lexical_3plus
299	Башҡ	168	initial_upper
300	Енакиев	167	initial_upper
301	Фелек	165	initial_upper
302	ЯАЙ	164	all_upper
303	ды	164	lower_two_letters
304	банктар	163	lower_lexical_3plus
305	шағирҙары	163	lower_lexical_3plus
306	миль	162	lower_lexical_3plus
307	Исәт	161	initial_upper
308	геогр	161	lower_lexical_3plus
309	табиптарҙың	161	lower_lexical_3plus
310	тарихҡа	161	lower_lexical_3plus
311	Гулливер	160	initial_upper
312	Мартини	160	initial_upper
313	корпоратив	160	lower_lexical_3plus
314	Гөлһары	159	initial_upper
315	РФА	158	all_upper
316	Рустә	157	initial_upper
317	интервьюһында	157	lower_lexical_3plus
318	һуға	157	lower_lexical_3plus
319	ВКП	156	all_upper
320	Карабас	156	initial_upper
321	Момун	156	initial_upper
322	Слезин	156	initial_upper
323	тотондолар	155	lower_lexical_3plus
324	ғалимдарҙың	155	lower_lexical_3plus
325	Кәшфулла	154	initial_upper
326	Матиуштың	154	initial_upper
327	ХК	154	all_upper
328	Шағирҙың	154	initial_upper
329	брифингта	154	lower_lexical_3plus
330	юниорҙар	154	lower_lexical_3plus
331	Адресы	153	initial_upper
332	Фәһимдең	153	initial_upper
333	металдарҙың	153	lower_lexical_3plus
334	мәғарифты	153	lower_lexical_3plus
335	по	153	lower_two_letters
336	Гуттиэре	152	initial_upper
337	Дағстан	152	initial_upper
338	Мансура	152	initial_upper
339	шаһзат	152	lower_lexical_3plus
340	БДМИ-ла	151	initial_upper
341	рф	151	lower_two_letters
342	Цюрупа	150	initial_upper
343	гына	150	lower_lexical_3plus
344	Башкирэнерго	147	initial_upper
345	рейтингта	147	lower_lexical_3plus
346	ҙы	146	lower_two_letters
347	Ҡоншаҡ	146	initial_upper
348	Шер	143	initial_upper
349	атҡ	143	lower_lexical_3plus
350	ына	143	lower_lexical_3plus
351	килограмдан	142	lower_lexical_3plus
352	таймер	142	lower_lexical_3plus
353	НЭЗ-ында	141	initial_upper
354	комп	141	lower_lexical_3plus
355	театра	141	lower_lexical_3plus
356	БДПУ	139	all_upper
357	Әсғәт	139	initial_upper
358	яугирҙар	137	lower_lexical_3plus
359	Дүйшөн	136	initial_upper
360	ХХ	136	all_upper
361	күберәге	136	lower_lexical_3plus
362	попечителлек	136	lower_lexical_3plus
363	фатирға	136	lower_lexical_3plus
364	Натйаш	135	initial_upper
365	банкыһы	135	lower_lexical_3plus
366	Ғәйнуллин	135	initial_upper
367	БДПУ-ла	134	initial_upper
368	Балу	134	initial_upper
369	Йәнеш	134	initial_upper
370	тарихының	134	lower_lexical_3plus
371	Карло	133	initial_upper
372	тарихта	133	lower_lexical_3plus
373	Апимондия	132	initial_upper
374	ПБ	132	all_upper
375	һөйөүен	132	lower_lexical_3plus
376	Дж	131	initial_upper
377	Иҡт	131	initial_upper
378	ҒТИ-ның	131	initial_upper
379	Христос	130	initial_upper
380	йомдо	130	lower_lexical_3plus
381	флавоноидтар	130	lower_lexical_3plus
382	һенә	130	lower_lexical_3plus
383	КВН	129	all_upper
384	Мейәс	129	initial_upper
385	ССР-ының	129	initial_upper
386	Черниковка	129	initial_upper
387	Чоро	129	initial_upper
388	ефете	129	lower_lexical_3plus
389	Вәлидиҙең	128	initial_upper
390	БДХМ	127	all_upper
391	медикаментоз	127	lower_lexical_3plus
392	темпы	127	lower_lexical_3plus
393	ярт	127	lower_lexical_3plus
394	ӨАИ-ны	127	initial_upper
395	БДАУ-ҙа	126	initial_upper
396	Калуга	126	initial_upper
397	Кристина	126	initial_upper
398	Михайловка	126	initial_upper
399	Поль	126	initial_upper
400	РФА-ның	126	initial_upper
401	яугирҙары	126	lower_lexical_3plus
402	ҮБК	126	all_upper
403	БАХИ-ны	125	initial_upper
404	Бахшиева	125	initial_upper
405	Пиня	125	initial_upper
406	театраһы	125	lower_lexical_3plus
407	Анджей	124	initial_upper
408	Речь	124	initial_upper
409	Сембер	124	initial_upper
410	вариҫтары	124	lower_lexical_3plus
411	хеҙм	124	lower_lexical_3plus
412	Әстрхан	124	initial_upper
413	БАДТ	123	all_upper
414	БДМУ	123	all_upper
415	Барабас	123	initial_upper
416	Ҡашҡаҙан	123	initial_upper
417	Һолл	123	initial_upper
418	БДОБТ	122	all_upper
419	Риварес	122	initial_upper
420	банктың	122	lower_lexical_3plus
421	кв	122	lower_two_letters
422	ойошторолоуҙың	122	lower_lexical_3plus
423	Синдбад	121	initial_upper
424	генеральный	121	lower_lexical_3plus
425	ӨДСИ-не	121	initial_upper
426	Флүр	120	initial_upper
427	Рифҡәт	119	initial_upper
428	техноген	119	lower_lexical_3plus
429	с-зы	118	lower_hyphenated
430	Башкирии	117	initial_upper
431	антропоген	117	lower_lexical_3plus
432	ойоштороуҙың	117	lower_lexical_3plus
433	Каа	116	initial_upper
434	Металдарҙың	116	initial_upper
435	Ҡазандан	116	initial_upper
436	Роснефть	115	initial_upper
437	канд	115	lower_lexical_3plus
438	ӨМЭПБ	115	all_upper
439	дүртәүһе	114	lower_lexical_3plus
440	средстволарын	114	lower_lexical_3plus
441	театрала	114	lower_lexical_3plus
442	Әлфис	114	initial_upper
443	Афғанстан	113	initial_upper
444	Башинформсвязь	113	initial_upper
445	КПРФ	113	all_upper
446	графиня	113	lower_lexical_3plus
447	Башкирская	112	initial_upper
448	Полиэф	112	initial_upper
449	хеҙм-р	112	lower_hyphenated
450	ғ	112	one_letter
451	ӨДАТУ	112	all_upper
452	паркына	111	lower_lexical_3plus
453	фатирҙа	111	lower_lexical_3plus
454	Нехлюдов	110	initial_upper
455	автономлы	110	lower_lexical_3plus
456	тороуына	110	lower_lexical_3plus
457	әҫ	110	lower_two_letters
458	йөрөүен	109	lower_lexical_3plus
459	Акела	108	initial_upper
460	ВДНХ-Экспо	108	initial_upper
461	Зәңгәркүҙ	108	initial_upper
462	Нижегородка	108	initial_upper
463	грек-рим	107	lower_hyphenated
464	комитетаһы	107	lower_lexical_3plus
465	Үрәзмәтов	107	initial_upper
466	конгресс-холында	106	lower_hyphenated
467	Әнүз	106	initial_upper
468	Уфанефтехим	105	initial_upper
469	сығарылмалары	105	lower_lexical_3plus
470	тең	105	lower_lexical_3plus
471	что	105	lower_lexical_3plus
472	ЛДПР	104	all_upper
473	авт	104	lower_lexical_3plus
474	Бикшөрөп	103	initial_upper
475	Вәлетдин	103	initial_upper
476	Инорс	103	initial_upper
477	Рикерт	103	initial_upper
478	России	103	initial_upper
479	ғалимдарының	103	lower_lexical_3plus
480	Клу-Клу	102	initial_upper
481	МС-ы	102	initial_upper
482	ОРВИ	102	all_upper
483	Ч	102	one_letter
484	БДПУ-ның	101	initial_upper
485	ге	101	lower_two_letters
486	фатирҙы	101	lower_lexical_3plus
487	шағирының	101	lower_lexical_3plus
488	Әхтәри	101	initial_upper
489	Вся	100	initial_upper
490	Марвел	100	initial_upper
491	саммиттары	100	lower_lexical_3plus
492	Башкирский	99	initial_upper
493	ДУП-ы	99	initial_upper
494	ТР	99	all_upper
495	Тәвкилев	99	initial_upper
496	ваше	99	lower_lexical_3plus
497	д-ры	99	lower_hyphenated
498	полкында	99	lower_lexical_3plus
499	АҠШ-та	98	initial_upper
500	Биол	98	initial_upper
501	ДСО-һы	98	initial_upper
502	ТАССР-ҙың	98	initial_upper
503	бишәүһе	98	lower_lexical_3plus
504	геом	98	lower_lexical_3plus
505	циркы	98	lower_lexical_3plus
506	ААЙ-ның	97	initial_upper
507	паркының	97	lower_lexical_3plus
508	Бадранов	96	initial_upper
509	ДНК	96	all_upper
510	Кар	96	initial_upper
511	Ольсен	96	initial_upper
512	за	96	lower_two_letters
513	кристалдар	96	lower_lexical_3plus
514	ойошторолоуы	96	lower_lexical_3plus
515	Әстерхан	96	initial_upper
516	Матиушты	95	initial_upper
517	волонтерҙар	95	lower_lexical_3plus
518	БДМУ-ның	94	initial_upper
519	Геол	94	initial_upper
520	Мак-Горн	94	initial_upper
521	Росреестр	94	initial_upper
522	Росстат	94	initial_upper
523	изгеләндерелә	94	lower_lexical_3plus
524	муниц	94	lower_lexical_3plus
525	мығырҙаны	94	lower_lexical_3plus
526	шағирҙарҙың	94	lower_lexical_3plus
527	Зух	93	initial_upper
528	аҫтын	93	lower_lexical_3plus
529	йөрөүҙе	93	lower_lexical_3plus
530	ғалимдарға	93	lower_lexical_3plus
531	Конгресс-холында	92	initial_upper
532	Матиушҡа	92	initial_upper
533	РБК	92	all_upper
534	Рәил	92	initial_upper
535	фатирҙың	92	lower_lexical_3plus
536	ӨДНТУ	92	all_upper
537	ВЛКСМ-дың	91	initial_upper
538	Ц	91	one_letter
539	вариҫы	91	lower_lexical_3plus
540	метаморфик	91	lower_lexical_3plus
541	мкм	91	lower_lexical_3plus
542	сәғ	91	lower_lexical_3plus
543	Ихтиандрҙы	90	initial_upper
544	боҙоуҙы	90	lower_lexical_3plus
545	көтөүен	90	lower_lexical_3plus
546	логия	90	lower_lexical_3plus
547	финанслана	90	lower_lexical_3plus
548	Баҡы	89	initial_upper
549	Успение	89	initial_upper
550	Уфаоргсинтез	89	initial_upper
551	средстволарҙы	89	lower_lexical_3plus
552	Ҡәҙриә	89	initial_upper
553	Әсфәндиәров	89	initial_upper
554	Зорге	88	initial_upper
555	РККА-ның	88	initial_upper
556	тотондом	88	lower_lexical_3plus
557	яба	88	lower_lexical_3plus
558	Һиндостанға	88	initial_upper
559	БЮТ	87	all_upper
560	История	87	initial_upper
561	ағынты	87	lower_lexical_3plus
562	индексациялана	87	lower_lexical_3plus
563	крица	87	lower_lexical_3plus
564	правда	87	lower_lexical_3plus
565	төшөүен	87	lower_lexical_3plus
566	Ғәрәбстаны	87	initial_upper
567	Миловка	86	initial_upper
568	Фоат	86	initial_upper
569	Фәһимгә	86	initial_upper
570	күбеһен	86	lower_lexical_3plus
571	Башспирт	85	initial_upper
572	Поллианнаның	85	initial_upper
573	к-зы	85	lower_hyphenated
574	пермь	85	lower_lexical_3plus
575	тамырһабаҡлы	85	lower_lexical_3plus
576	Джимми	84	initial_upper
577	Сауд	84	initial_upper
578	Сәғүд	84	initial_upper
579	грипҡа	84	lower_lexical_3plus
580	ӨНИ-лә	84	initial_upper
581	АХПК	83	all_upper
582	алтауһы	83	lower_lexical_3plus
583	күбеһендә	83	lower_lexical_3plus
584	мәғарифҡа	83	lower_lexical_3plus
585	тергеҙелде	83	lower_lexical_3plus
586	Божья	82	initial_upper
587	Дюпен	82	initial_upper
588	Крешимир	82	initial_upper
589	ТРК	82	all_upper
590	Татар-информ	82	initial_upper
591	Төркмәнстан	82	initial_upper
592	фиҙаҡәр	82	lower_lexical_3plus
593	Ҡазандың	82	initial_upper
594	Пермдә	81	initial_upper
595	Семка	81	initial_upper
596	вестник	81	lower_lexical_3plus
597	началу	81	lower_lexical_3plus
598	теннисы	81	lower_lexical_3plus
599	тотоуы	81	lower_lexical_3plus
600	ук	81	lower_two_letters
601	физиол	81	lower_lexical_3plus
602	шағирҙарының	81	lower_lexical_3plus
603	ҙәһә	81	lower_lexical_3plus
604	Ҡулаев	81	initial_upper
605	Браси	80	initial_upper
606	ВТБ	80	all_upper
607	ГТО	80	all_upper
608	Гисметео	80	initial_upper
609	Рфакультетың	80	initial_upper
610	миним	80	lower_lexical_3plus
611	ре	80	lower_two_letters
612	филос	80	lower_lexical_3plus
613	АгроКомплекс	79	initial_upper
614	Российская	79	initial_upper
615	ры	79	lower_two_letters
616	филол	79	lower_lexical_3plus
617	Һиндостанда	79	initial_upper
618	БСТ	78	all_upper
619	Башкиравтодор	78	initial_upper
620	МДУ-ны	78	initial_upper
621	Яндекс	78	initial_upper
622	абс	78	lower_lexical_3plus
623	Әнғәм	78	initial_upper
624	Афғанстанда	77	initial_upper
625	Матерь	77	initial_upper
626	Сейәғәле	77	initial_upper
627	Соц	77	initial_upper
628	ЮС-ы	77	initial_upper
629	ЯСЙ-нда	77	initial_upper
630	тергеҙелгән	77	lower_lexical_3plus
631	ғалимдарҙы	77	lower_lexical_3plus
632	Башстат	76	initial_upper
633	МС	76	all_upper
634	Торнтон	76	initial_upper
635	лейт	76	lower_lexical_3plus
636	мәғриб	76	lower_lexical_3plus
637	тотоуҙы	76	lower_lexical_3plus
638	уч	76	lower_two_letters
639	эконом	76	lower_lexical_3plus
640	Ҡыштым	76	initial_upper
641	һинме	76	lower_lexical_3plus
642	ОЗНА	75	all_upper
643	металдан	75	lower_lexical_3plus
644	этно-рок	75	lower_hyphenated
645	АСБР	74	all_upper
646	Бен	74	initial_upper
647	ДТРК-һы	74	initial_upper
648	Интерфакс	74	initial_upper
649	Леня	74	initial_upper
650	Фәһимде	74	initial_upper
651	Чебоксар	74	initial_upper
652	Чордон	74	initial_upper
653	ойошторолоуына	74	lower_lexical_3plus
654	офицеры	74	lower_lexical_3plus
655	терриген	74	lower_lexical_3plus
656	ының	74	lower_lexical_3plus
657	Һиндостандың	74	initial_upper
658	БАХИ-ла	73	initial_upper
659	Бүреһуҡҡан	73	initial_upper
660	Витязь	73	initial_upper
661	Комсомольская	73	initial_upper
662	Республики	73	initial_upper
663	Седрик	73	initial_upper
664	Фрон	73	initial_upper
665	ҙе	73	lower_two_letters
666	Никерин	72	initial_upper
667	Риккардо	72	initial_upper
668	Семивеличенко	72	initial_upper
669	банкыһының	72	lower_lexical_3plus
670	для	72	lower_lexical_3plus
671	йыға	72	lower_lexical_3plus
672	көлөүе	72	lower_lexical_3plus
673	Әрмәнстан	72	initial_upper
674	ӨАИ-ла	72	initial_upper
675	Инновацион	71	initial_upper
676	Ихтиандрҙың	71	initial_upper
677	октябрҙан	71	lower_lexical_3plus
678	фатирҙарға	71	lower_lexical_3plus
679	ында	71	lower_lexical_3plus
680	эҙҙәрен	71	lower_lexical_3plus
681	ҙ	71	one_letter
682	Поликей	70	initial_upper
683	Роже	70	initial_upper
684	Сәмәрҡәнд	70	initial_upper
685	Хәйрүш	70	initial_upper
686	боҙолоуына	70	lower_lexical_3plus
687	из	70	lower_two_letters
688	коэф	70	lower_lexical_3plus
689	көньяҡтараҡ	70	lower_lexical_3plus
690	ләһә	70	lower_lexical_3plus
691	ғәжәпкә	70	lower_lexical_3plus
692	АҠШ-тың	69	initial_upper
693	Аҡҡалпаҡ	69	initial_upper
694	Голос	69	initial_upper
695	Метелица	69	initial_upper
696	Ретро	69	initial_upper
697	ТАССР	69	all_upper
698	ХКС-ы	69	initial_upper
699	ЯСЙ-ның	69	initial_upper
700	конф	69	lower_lexical_3plus
701	рекреацион	69	lower_lexical_3plus
702	саммиттарына	69	lower_lexical_3plus
703	те	69	lower_two_letters
704	ПБ-нда	68	initial_upper
705	банкка	68	lower_lexical_3plus
706	АНК	67	all_upper
707	Иисус	67	initial_upper
708	КамАЗ	67	initial_upper
709	Нижегород	67	initial_upper
710	РусГидро	67	initial_upper
711	Таманго	67	initial_upper
712	ХК-ның	67	initial_upper
713	ведомости	67	lower_lexical_3plus
714	геопаркы	67	lower_lexical_3plus
715	сеһе	67	lower_lexical_3plus
716	тороуҙың	67	lower_lexical_3plus
717	уйнатыла	67	lower_lexical_3plus
718	хакимдары	67	lower_lexical_3plus
719	эҙенә	67	lower_lexical_3plus
720	Атнабаев	66	initial_upper
721	БДАУ	66	all_upper
722	Верхотор	66	initial_upper
723	ГЛОНАСС	66	all_upper
724	Дарыукин	66	initial_upper
725	Джемилев	66	initial_upper
726	Козаева	66	initial_upper
727	Ливон	66	initial_upper
728	Николо-Берёзовка	66	initial_upper
729	Нурмыш	66	initial_upper
730	Сәғүрә	66	initial_upper
731	ТЭФИ-Төбәк	66	initial_upper
732	биреүсәнлеген	66	lower_lexical_3plus
733	дағы	66	lower_lexical_3plus
734	күрке	66	lower_lexical_3plus
735	лаған	66	lower_lexical_3plus
736	лы	66	lower_two_letters
737	полилингваль	66	lower_lexical_3plus
738	просторы	66	lower_lexical_3plus
739	с-зының	66	lower_hyphenated
740	таға	66	lower_lexical_3plus
741	төҙөүҙең	66	lower_lexical_3plus
742	фатирҙарҙың	66	lower_lexical_3plus
743	ғалимдың	66	lower_lexical_3plus
744	Артемон	65	initial_upper
745	Ермолаевка	65	initial_upper
746	Максимовка	65	initial_upper
747	Мәрәһим	65	initial_upper
748	Пейрорад	65	initial_upper
749	Физика-матем	65	initial_upper
750	берәйһен	65	lower_lexical_3plus
751	мәғлүмәтләштереү	65	lower_lexical_3plus
752	офицерҙары	65	lower_lexical_3plus
753	полкына	65	lower_lexical_3plus
754	сағ	65	lower_lexical_3plus
755	сиятельство	65	lower_lexical_3plus
756	табиптарҙы	65	lower_lexical_3plus
757	торамаһы	65	lower_lexical_3plus
758	Ғизәтуллин	65	initial_upper
759	Вестник	64	initial_upper
760	Уралсиб	64	initial_upper
761	етәүһе	64	lower_lexical_3plus
762	кВт	64	lower_lexical_3plus
763	ниндәйерәк	64	lower_lexical_3plus
764	рабочий	64	lower_lexical_3plus
765	рәйестәше	64	lower_lexical_3plus
766	фәлс	64	lower_lexical_3plus
767	әүҙемләштерергә	64	lower_lexical_3plus
768	Ваше	63	initial_upper
769	ИКЕА	63	all_upper
770	Кишшер	63	initial_upper
771	Луч	63	initial_upper
772	Омскиҙа	63	initial_upper
773	ПУ	63	all_upper
774	Петербургка	63	initial_upper
775	Пионерҙар	63	initial_upper
776	Рускә	63	initial_upper
777	адресын	63	lower_lexical_3plus
778	брат	63	lower_lexical_3plus
779	ковидҡа	63	lower_lexical_3plus
780	мәғарифын	63	lower_lexical_3plus
781	оҙайтыла	63	lower_lexical_3plus
